"------------------------------------------------------------------"
"UCAS Analysis & Insights - 2021 cycle applicant figures"
"------------------------------------------------------------------"
"Published on 9 December 2021"
"------------------------------------------------------------------"
"File name: EOC_data_resource_2021_016_1"
"Cycles: 2010 - 2021"
"Cycle reference point: End of cycle"
"Analysis classes: Year, A level points (equivalent grade profile), A level only status, Domicile, Gender, Age group, Applicant type                                                    "
"Coverage: UK, 18 year old applicants with at least 3 achieved A levels"
"------------------------------------------------------------------"
"Technical notes and definitions available on ucas.com."
"Data lines are comma delimited."
"Data follows -    32734 lines in total"
"------------------------------------------------------------------"
Year,A level points (equivalent grade profile),A level only status,Domicile,Gender,Age group,Applicant type,Applicants,
2018,All,All,Northern Ireland,All,All,All,7520
2018,All,All,Scotland,All,All,All,190
2018,All,All,Wales,All,All,All,5915
2019,All,All,England,All,All,All,151220
2019,All,All,Northern Ireland,All,All,All,6435
2019,All,All,Scotland,All,All,All,180
2019,All,All,Wales,All,All,All,5855
2020,All,All,England,All,All,All,156385
2020,All,All,Northern Ireland,All,All,All,6505
2020,All,All,Scotland,All,All,All,150
2020,All,All,Wales,All,All,All,5680
2021,All,All,England,All,All,All,167565
2021,All,All,Northern Ireland,All,All,All,7015
2021,All,All,Scotland,All,All,All,195
2021,All,All,Wales,All,All,All,7070
2010,All,All,England,All,All,Main scheme applicant,160835
2010,All,All,England,All,All,Non-main scheme applicant,50
2010,All,All,Northern Ireland,All,All,Main scheme applicant,9025
2010,All,All,Scotland,All,All,Main scheme applicant,270
2010,All,All,Wales,All,All,Main scheme applicant,7975
2011,All,All,England,All,All,Main scheme applicant,161515
2011,All,All,England,All,All,Non-main scheme applicant,95
2011,All,All,Northern Ireland,All,All,Main scheme applicant,8965
2011,All,All,Scotland,All,All,Main scheme applicant,230
2011,All,All,Wales,All,All,Main scheme applicant,7615
2011,All,All,Wales,All,All,Non-main scheme applicant,5
2012,All,All,England,All,All,Main scheme applicant,154495
2012,All,All,England,All,All,Non-main scheme applicant,80
2012,All,All,Northern Ireland,All,All,Main scheme applicant,8930
2012,All,All,Scotland,All,All,Main scheme applicant,240
2012,All,All,Wales,All,All,Main scheme applicant,7260
2012,All,All,Wales,All,All,Non-main scheme applicant,5
2013,All,All,England,All,All,Main scheme applicant,153355
2013,All,All,England,All,All,Non-main scheme applicant,85
2013,All,All,Northern Ireland,All,All,Main scheme applicant,9010
2013,All,All,Scotland,All,All,Main scheme applicant,225
2013,All,All,Wales,All,All,Main scheme applicant,6910
2014,All,All,England,All,All,Main scheme applicant,151355
2014,All,All,England,All,All,Non-main scheme applicant,50
2014,All,All,Northern Ireland,All,All,Main scheme applicant,8635
2014,All,All,Scotland,All,All,Main scheme applicant,230
2014,All,All,Wales,All,All,Main scheme applicant,6775
2014,All,All,Wales,All,All,Non-main scheme applicant,5
2015,All,All,England,All,All,Main scheme applicant,155275
2015,All,All,England,All,All,Non-main scheme applicant,95
2015,All,All,Northern Ireland,All,All,Main scheme applicant,8800
2015,All,All,Scotland,All,All,Main scheme applicant,220
2015,All,All,Wales,All,All,Main scheme applicant,6945
2015,All,All,Wales,All,All,Non-main scheme applicant,5
2016,All,All,England,All,All,Main scheme applicant,155215
2016,All,All,England,All,All,Non-main scheme applicant,95
2016,All,All,Northern Ireland,All,All,Main scheme applicant,8420
2016,All,All,Scotland,All,All,Main scheme applicant,195
2016,All,All,Wales,All,All,Main scheme applicant,6915
2016,All,All,Wales,All,All,Non-main scheme applicant,5
2017,All,All,England,All,All,Main scheme applicant,156290
2017,All,All,England,All,All,Non-main scheme applicant,185
2017,All,All,Northern Ireland,All,All,Main scheme applicant,8265
2017,All,All,Scotland,All,All,Main scheme applicant,220
2017,All,All,Wales,All,All,Main scheme applicant,6420
2017,All,All,Wales,All,All,Non-main scheme applicant,5
2018,All,All,England,All,All,Main scheme applicant,152060
2018,All,All,England,All,All,Non-main scheme applicant,125
2018,All,All,Northern Ireland,All,All,Main scheme applicant,7520
2018,All,All,Scotland,All,All,Main scheme applicant,190
2018,All,All,Wales,All,All,Main scheme applicant,5915
2018,All,All,Wales,All,All,Non-main scheme applicant,5
2019,All,All,England,All,All,Main scheme applicant,150365
2019,All,All,England,All,All,Non-main scheme applicant,850
2019,All,All,Northern Ireland,All,All,Main scheme applicant,6435
2019,All,All,Scotland,All,All,Main scheme applicant,180
2019,All,All,Wales,All,All,Main scheme applicant,5830
2019,All,All,Wales,All,All,Non-main scheme applicant,30
2020,All,All,England,All,All,Main scheme applicant,155415
2020,All,All,England,All,All,Non-main scheme applicant,970
2020,All,All,Northern Ireland,All,All,Main scheme applicant,6500
2020,All,All,Northern Ireland,All,All,Non-main scheme applicant,5
2020,All,All,Scotland,All,All,Main scheme applicant,150
2020,All,All,Wales,All,All,Main scheme applicant,5645
2020,All,All,Wales,All,All,Non-main scheme applicant,35
2021,All,All,England,All,All,Main scheme applicant,167065
2021,All,All,England,All,All,Non-main scheme applicant,500
2021,All,All,Northern Ireland,All,All,Main scheme applicant,7015
2021,All,All,Northern Ireland,All,All,Non-main scheme applicant,5
2021,All,All,Scotland,All,All,Main scheme applicant,190
2021,All,All,Wales,All,All,Main scheme applicant,7050
2021,All,All,Wales,All,All,Non-main scheme applicant,15
2010,All,All,England,All,18,All,160885
2010,All,All,Northern Ireland,All,18,All,9025
2010,All,All,Scotland,All,18,All,270
2010,All,All,Wales,All,18,All,7980
2011,All,All,England,All,18,All,161610
2011,All,All,Northern Ireland,All,18,All,8965
2011,All,All,Scotland,All,18,All,230
2011,All,All,Wales,All,18,All,7620
2012,All,All,England,All,18,All,154570
2012,All,All,Northern Ireland,All,18,All,8930
2012,All,All,Scotland,All,18,All,240
2012,All,All,Wales,All,18,All,7260
2013,All,All,England,All,18,All,153440
2013,All,All,Northern Ireland,All,18,All,9010
2013,All,All,Scotland,All,18,All,225
2013,All,All,Wales,All,18,All,6910
2014,All,All,England,All,18,All,151405
2014,All,All,Northern Ireland,All,18,All,8635
2014,All,All,Scotland,All,18,All,230
2014,All,All,Wales,All,18,All,6780
2015,All,All,England,All,18,All,155370
2015,All,All,Northern Ireland,All,18,All,8800
2015,All,All,Scotland,All,18,All,220
2015,All,All,Wales,All,18,All,6950
2016,All,All,England,All,18,All,155310
2016,All,All,Northern Ireland,All,18,All,8420
2016,All,All,Scotland,All,18,All,195
2016,All,All,Wales,All,18,All,6920
2017,All,All,England,All,18,All,156470
2017,All,All,Northern Ireland,All,18,All,8265
2017,All,All,Scotland,All,18,All,220
2017,All,All,Wales,All,18,All,6420
2018,All,All,England,All,18,All,152180
2018,All,All,Northern Ireland,All,18,All,7520
2018,All,All,Scotland,All,18,All,190
2018,All,All,Wales,All,18,All,5915
2019,All,All,England,All,18,All,151220
2019,All,All,Northern Ireland,All,18,All,6435
2019,All,All,Scotland,All,18,All,180
2019,All,All,Wales,All,18,All,5855
2020,All,All,England,All,18,All,156385
2020,All,All,Northern Ireland,All,18,All,6505
2020,All,All,Scotland,All,18,All,150
2020,All,All,Wales,All,18,All,5680
2021,All,All,England,All,18,All,167565
2021,All,All,Northern Ireland,All,18,All,7015
2021,All,All,Scotland,All,18,All,195
2021,All,All,Wales,All,18,All,7070
2010,All,All,England,All,18,Main scheme applicant,160835
2010,All,All,England,All,18,Non-main scheme applicant,50
2010,All,All,Northern Ireland,All,18,Main scheme applicant,9025
2010,All,All,Scotland,All,18,Main scheme applicant,270
2010,All,All,Wales,All,18,Main scheme applicant,7975
2011,All,All,England,All,18,Main scheme applicant,161515
2011,All,All,England,All,18,Non-main scheme applicant,95
2011,All,All,Northern Ireland,All,18,Main scheme applicant,8965
2011,All,All,Scotland,All,18,Main scheme applicant,230
2011,All,All,Wales,All,18,Main scheme applicant,7615
2011,All,All,Wales,All,18,Non-main scheme applicant,5
2012,All,All,England,All,18,Main scheme applicant,154495
2012,All,All,England,All,18,Non-main scheme applicant,80
2012,All,All,Northern Ireland,All,18,Main scheme applicant,8930
2012,All,All,Scotland,All,18,Main scheme applicant,240
2012,All,All,Wales,All,18,Main scheme applicant,7260
2012,All,All,Wales,All,18,Non-main scheme applicant,5
2013,All,All,England,All,18,Main scheme applicant,153355
2013,All,All,England,All,18,Non-main scheme applicant,85
2013,All,All,Northern Ireland,All,18,Main scheme applicant,9010
2013,All,All,Scotland,All,18,Main scheme applicant,225
2013,All,All,Wales,All,18,Main scheme applicant,6910
2014,All,All,England,All,18,Main scheme applicant,151355
2014,All,All,England,All,18,Non-main scheme applicant,50
2014,All,All,Northern Ireland,All,18,Main scheme applicant,8635
2014,All,All,Scotland,All,18,Main scheme applicant,230
2014,All,All,Wales,All,18,Main scheme applicant,6775
2014,All,All,Wales,All,18,Non-main scheme applicant,5
2015,All,All,England,All,18,Main scheme applicant,155275
2015,All,All,England,All,18,Non-main scheme applicant,95
2015,All,All,Northern Ireland,All,18,Main scheme applicant,8800
2015,All,All,Scotland,All,18,Main scheme applicant,220
2015,All,All,Wales,All,18,Main scheme applicant,6945
2015,All,All,Wales,All,18,Non-main scheme applicant,5
2016,All,All,England,All,18,Main scheme applicant,155215
2016,All,All,England,All,18,Non-main scheme applicant,95
2016,All,All,Northern Ireland,All,18,Main scheme applicant,8420
2016,All,All,Scotland,All,18,Main scheme applicant,195
2016,All,All,Wales,All,18,Main scheme applicant,6915
2016,All,All,Wales,All,18,Non-main scheme applicant,5
2017,All,All,England,All,18,Main scheme applicant,156290
2017,All,All,England,All,18,Non-main scheme applicant,185
2017,All,All,Northern Ireland,All,18,Main scheme applicant,8265
2017,All,All,Scotland,All,18,Main scheme applicant,220
2017,All,All,Wales,All,18,Main scheme applicant,6420
2017,All,All,Wales,All,18,Non-main scheme applicant,5
2018,All,All,England,All,18,Main scheme applicant,152060
2018,All,All,England,All,18,Non-main scheme applicant,125
2018,All,All,Northern Ireland,All,18,Main scheme applicant,7520
2018,All,All,Scotland,All,18,Main scheme applicant,190
2018,All,All,Wales,All,18,Main scheme applicant,5915
2018,All,All,Wales,All,18,Non-main scheme applicant,5
2019,All,All,England,All,18,Main scheme applicant,150365
2019,All,All,England,All,18,Non-main scheme applicant,850
2019,All,All,Northern Ireland,All,18,Main scheme applicant,6435
2019,All,All,Scotland,All,18,Main scheme applicant,180
2019,All,All,Wales,All,18,Main scheme applicant,5830
2019,All,All,Wales,All,18,Non-main scheme applicant,30
2020,All,All,England,All,18,Main scheme applicant,155415
2020,All,All,England,All,18,Non-main scheme applicant,970
2020,All,All,Northern Ireland,All,18,Main scheme applicant,6500
2020,All,All,Northern Ireland,All,18,Non-main scheme applicant,5
2020,All,All,Scotland,All,18,Main scheme applicant,150
2020,All,All,Wales,All,18,Main scheme applicant,5645
2020,All,All,Wales,All,18,Non-main scheme applicant,35
2021,All,All,England,All,18,Main scheme applicant,167065
2021,All,All,England,All,18,Non-main scheme applicant,500
2021,All,All,Northern Ireland,All,18,Main scheme applicant,7015
2021,All,All,Northern Ireland,All,18,Non-main scheme applicant,5
2021,All,All,Scotland,All,18,Main scheme applicant,190
2021,All,All,Wales,All,18,Main scheme applicant,7050
2021,All,All,Wales,All,18,Non-main scheme applicant,15
2010,All,All,England,Men,All,All,71660
2010,All,All,England,Women,All,All,89225
2010,All,All,Northern Ireland,Men,All,All,3765
2010,All,All,Northern Ireland,Women,All,All,5260
2010,All,All,Scotland,Men,All,All,140
2010,All,All,Scotland,Women,All,All,130
2010,All,All,Wales,Men,All,All,3385
2010,All,All,Wales,Women,All,All,4595
2011,All,All,England,Men,All,All,71670
2011,All,All,England,Women,All,All,89940
2011,All,All,Northern Ireland,Men,All,All,3810
2011,All,All,Northern Ireland,Women,All,All,5155
2011,All,All,Scotland,Men,All,All,120
2011,All,All,Scotland,Women,All,All,105
2011,All,All,Wales,Men,All,All,3280
2011,All,All,Wales,Women,All,All,4345
2012,All,All,England,Men,All,All,67750
2012,All,All,England,Women,All,All,86820
2012,All,All,Northern Ireland,Men,All,All,3695
2012,All,All,Northern Ireland,Women,All,All,5235
2012,All,All,Scotland,Men,All,All,140
2012,All,All,Scotland,Women,All,All,100
2012,All,All,Wales,Men,All,All,3000
2012,All,All,Wales,Women,All,All,4265
2013,All,All,England,Men,All,All,66970
2013,All,All,England,Women,All,All,86465
2013,All,All,Northern Ireland,Men,All,All,3805
2013,All,All,Northern Ireland,Women,All,All,5205
2013,All,All,Scotland,Men,All,All,130
2013,All,All,Scotland,Women,All,All,95
2013,All,All,Wales,Men,All,All,2875
2013,All,All,Wales,Women,All,All,4035
2014,All,All,England,Men,All,All,65990
2014,All,All,England,Women,All,All,85415
2014,All,All,Northern Ireland,Men,All,All,3615
2014,All,All,Northern Ireland,Women,All,All,5020
2014,All,All,Scotland,Men,All,All,115
2014,All,All,Scotland,Women,All,All,115
2014,All,All,Wales,Men,All,All,2800
2014,All,All,Wales,Women,All,All,3975
2015,All,All,England,Men,All,All,66695
2015,All,All,England,Women,All,All,88675
2015,All,All,Northern Ireland,Men,All,All,3560
2015,All,All,Northern Ireland,Women,All,All,5240
2015,All,All,Scotland,Men,All,All,105
2015,All,All,Scotland,Women,All,All,115
2015,All,All,Wales,Men,All,All,2835
2015,All,All,Wales,Women,All,All,4115
2016,All,All,England,Men,All,All,66610
2016,All,All,England,Women,All,All,88700
2016,All,All,Northern Ireland,Men,All,All,3435
2016,All,All,Northern Ireland,Women,All,All,4985
2016,All,All,Scotland,Men,All,All,110
2016,All,All,Scotland,Women,All,All,90
2016,All,All,Wales,Men,All,All,2765
2016,All,All,Wales,Women,All,All,4155
2017,All,All,England,Men,All,All,67460
2017,All,All,England,Women,All,All,89010
